Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient 

Query 1,   5,  50.0,   0.60
Query 2,   6,  60.0,   0.20
Query 3,   7,  70.0,   0.82
Query 4,   4,  40.0,   0.70
Query 5,   6,  60.0,   0.77
Query 6,   7,  70.0,   0.73
Query 7,   8,  80.0,   0.04
Query 8,   8,  80.0,   0.31
Query 9,   2,  20.0,   1.00
Query 10,  6,  60.0,  -2.37
Query 11,  4,  40.0,  -0.70
Query 12,  7,  70.0,  -0.19
Query 13,  5,  50.0,  -2.30
Query 14,  5,  50.0,   0.40            
Query 15,  6,  60.0,   0.62
Query 16,  6,  60.0,   1.00
Query 17,  8,  80.0,   0.85
Query 18,  5,  50.0,   0.45
Query 19,  4,  40.0,  -1.10
Query 20,  0,  0.00,   0.00
Query 21,  6,  60.0,   0.45
Query 22,  5,  50.0,  -1.80
Query 23,  9,  90.0,   0.78
Query 24,  3,  30.0,  -3.25
Query 25,  4,  40.0,   0.70
Query 26, 7,   70.0,   0.64
Query 27, 6,   60.0,   0.57
Query 28, 6,   60.0,   0.68
Query 29, 8,   80.0,   0.56
Query 30, 7,   70.0,   0.64
Query 31, 2,   40.0,  -1.00
Query 32, 9,   90.0,   0.83
Query 33, 1,   10.0,   1.00
Query 34, 7,   70.0,   0.39
Query 35, 6,   60.0,   0.37
Query 36, 6,   60.0,   0.37
Query 37, 3,   30.0,  -16.25
Query 38, 7,   70.0,   0.75
Query 39, 5,   50.0,  -2.70
Query 40, 7,   70.0,   0.76
Query 41, 8,   80.0,   0.97
Query 42, 1,   10.0,   0.00
Query 43, 6,   60.0,   0.80
Query 44, 7,   70.0,  -1.51
Query 45, 8,   80.0,   0.94
Query 46, 8,   80.0,   0.82
Query 47, 5,   50.0,  -5.30 
Query 48, 4,   40.0,   0.80
Query 49, 9,   90.0,   0.83
Query 50, 7,   70.0,   0.82
Query 51, 8,   80.0,   0.62
Query 52, 4,   40.0,   0.00
Query 53, 5,   50.0,  -3.50
Query 54, 6,   60.0,  -0.88
Query 55, 7,   70.0,   0.85
Query 56, 6,   60.0,   0.06
Query 57, 4,   40.0,   0.40
Query 58, 7,   70.0,   0.00
Query 59, 7,   70.0,   0.87
Query 60, 6,   60.0,   0.91
Query 61, 3,   30.0,   0.00
Query 62, 7,   70.0,   0.76
Query 63, 7,   70.0,   0.62
Query 64, 5,   50.0,   0.75
Query 65, 6,   60.0,   0.80
Query 66, 5,   50.0,  -0.80
Query 67, 1,   20.0,   1.00
Query 68, 7,   70.0,   0.76
Query 69, 5,   50.0,   0.25
Query 70, 2,   20.0,  -79.0
Query 71, 4,   40.0,  -2.80
Query 72, 7,   70.0,   0.62
Query 73, 8,   80.0,   0.77
Query 74, 7,   70.0,   0.76
Query 75, 7,   70.0,   0.92
Query 76, 8,   80.0,   0.85
Query 77, 3,   30.0,  -2.00
Query 78, 5,   50.0,  -2.30
Query 79, 4,   40.0,  -2.00
Query 80, 7,   70.0,   0.25
Query 81, 4,   40.0,  -12.9
Query 82, 5,   50.0,  -0.55
Query 83, 7,   70.0,   0.39
Query 84, 1,   10.0,   0.00
Query 85, 8,   80.0,   0.92
Query 86, 8,   80.0,   0.58
Query 87, 9,   90.0,   0.86
Query 88, 6,   60.0,  -0.68
Query 89, 2,   20.0,  -9.00
Query 90, 7,   70.0,   0.25
Query 91, 6,   60.0,  -2.25
Query 92, 7,   70.0,   0.64
Query 93, 9,   90.0,   0.72
Query 94, 3,   30.0,  -3.54
Query 95, 6,   60.0,   0.85
Query 96, 6,   60.0,   0.80
Query 97, 6,   60.0,  -0.82
Query 98, 5,   50.0,  -1.45
Query 99, 6,   60.0,   0.85
Query 100, 6,  60.0,   0.51

Averages, 5.71, 57.40, -1.1879
